0295.png,374,365,407,395,0.9989573,No_Entry
0295.png,714,373,734,391,0.9099663,No_Entry
0297.png,340,361,377,394,0.99718624,No_Entry
0297.png,719,370,741,391,0.99695075,No_Entry
0299.png,299,356,342,393,0.99746037,No_Entry
0299.png,728,366,752,389,0.9678967,No_Entry
0301.png,249,347,300,389,0.9986721,No_Entry
0301.png,739,363,766,390,0.9953492,No_Entry
0303.png,182,339,244,385,0.99698645,No_Entry
0303.png,753,358,784,389,0.9942694,No_Entry
0305.png,775,353,808,387,0.9986883,No_Entry
0305.png,92,327,175,384,0.9934369,No_Entry
0307.png,802,345,839,386,0.9988096,No_Entry
0307.png,1,317,60,383,0.9938725,No_Entry
0309.png,840,335,885,383,0.99843353,No_Entry
0311.png,896,317,952,380,0.998406,No_Entry
0313.png,992,287,1068,372,0.9939813,No_Entry
0345.png,627,372,643,386,0.84361744,No_Entry
0345.png,486,382,502,397,0.7368047,No_Entry
0347.png,489,381,507,397,0.92605835,No_Entry
0347.png,633,370,648,386,0.4000193,No_Entry
0349.png,641,368,657,384,0.6906951,No_Entry
0349.png,490,381,508,397,0.49978068,No_Entry
0351.png,491,379,511,397,0.9085835,No_Entry
0351.png,648,368,663,384,0.9062884,No_Entry
0353.png,655,366,672,385,0.96451545,No_Entry
0353.png,493,379,513,397,0.9051371,No_Entry
0355.png,497,378,514,395,0.9037092,No_Entry
0355.png,663,366,679,383,0.77318996,No_Entry
0357.png,498,375,516,394,0.9621533,No_Entry
0357.png,671,365,688,381,0.88605005,No_Entry
0359.png,500,375,519,393,0.9610838,No_Entry
0359.png,680,364,697,380,0.93520457,No_Entry
0361.png,502,375,521,392,0.9525425,No_Entry
0361.png,688,362,708,381,0.9265761,No_Entry
0363.png,505,375,524,393,0.935066,No_Entry
0363.png,700,361,719,379,0.93206775,No_Entry
0365.png,712,357,732,377,0.94746375,No_Entry
0365.png,508,373,527,392,0.9245923,No_Entry
0367.png,508,372,528,391,0.9648139,No_Entry
0367.png,722,357,744,378,0.94539577,No_Entry
0369.png,506,368,525,389,0.97494113,No_Entry
0369.png,734,355,756,376,0.9712474,No_Entry
0371.png,500,367,521,387,0.97517425,No_Entry
0371.png,744,351,763,372,0.9719999,No_Entry
0373.png,490,363,513,386,0.9923693,No_Entry
0373.png,751,347,774,370,0.98179847,No_Entry
0375.png,480,361,504,385,0.990889,No_Entry
0375.png,761,343,785,367,0.9894617,No_Entry
0377.png,466,358,491,381,0.99110305,No_Entry
0377.png,771,339,799,364,0.987135,No_Entry
0379.png,782,332,811,362,0.99897194,No_Entry
0379.png,449,354,476,380,0.9988066,No_Entry
0381.png,427,350,457,379,0.9985257,No_Entry
0381.png,796,325,827,359,0.99627197,No_Entry
0383.png,812,315,847,351,0.99892515,No_Entry
0383.png,399,345,432,377,0.99708766,No_Entry
0385.png,366,339,402,375,0.9979031,No_Entry
0385.png,832,304,873,345,0.9965503,No_Entry
0387.png,322,330,363,370,0.9990761,No_Entry
0387.png,861,288,906,335,0.99738413,No_Entry
0389.png,263,318,311,366,0.99868864,No_Entry
0389.png,899,264,955,321,0.9983968,No_Entry
0391.png,960,229,1027,302,0.9978751,No_Entry
0391.png,178,305,238,359,0.9969626,No_Entry
0393.png,53,282,130,349,0.9971175,No_Entry
0393.png,1059,169,1159,268,0.9935626,No_Entry
0395.png,1282,35,1360,191,0.99350363,No_Entry
0407.png,118,345,139,363,0.84727305,No_Entry
0409.png,98,342,119,362,0.9393321,No_Entry
0411.png,75,340,97,359,0.9301593,No_Entry
0413.png,48,336,70,357,0.8615166,No_Entry
0415.png,15,335,38,356,0.8957272,No_Entry
0417.png,0,331,12,350,0.7921085,No_Entry
0425.png,14,339,39,362,0.99020934,No_Entry
0427.png,59,358,85,380,0.9559971,No_Entry
0429.png,107,380,129,401,0.9588471,No_Entry
0431.png,143,398,166,418,0.8134623,No_Entry
0433.png,170,406,193,426,0.8958991,No_Entry
0435.png,182,406,206,427,0.62640876,No_Entry
0437.png,193,400,214,421,0.8814088,No_Entry
0437.png,407,410,420,425,0.46970782,No_Entry
0439.png,200,393,221,412,0.8161739,No_Entry
0441.png,209,382,231,403,0.9365203,No_Entry
0443.png,218,374,241,394,0.92056197,No_Entry
0445.png,226,368,248,390,0.97338337,No_Entry
0447.png,232,366,255,388,0.9311156,No_Entry
0449.png,238,367,261,388,0.99123466,No_Entry
0449.png,475,376,492,392,0.45704898,No_Entry
0451.png,241,367,264,389,0.97215617,No_Entry
0453.png,240,366,264,388,0.98963505,No_Entry
0455.png,238,365,263,388,0.99291384,No_Entry
0457.png,239,363,265,388,0.99240535,No_Entry
0459.png,238,362,266,388,0.9960282,No_Entry
0459.png,522,374,539,390,0.70847327,No_Entry
0461.png,240,362,270,387,0.9919292,No_Entry
0461.png,533,372,550,388,0.9356328,No_Entry
0463.png,241,360,273,387,0.9787458,No_Entry
0463.png,547,372,563,388,0.94450384,No_Entry
0465.png,242,359,276,386,0.98802024,No_Entry
0465.png,558,369,576,387,0.963019,No_Entry
0467.png,245,357,278,385,0.99490535,No_Entry
0467.png,572,367,591,386,0.9577157,No_Entry
0469.png,246,356,281,383,0.9939044,No_Entry
0469.png,587,366,607,386,0.9701056,No_Entry
0471.png,244,352,282,383,0.99713683,No_Entry
0471.png,602,365,622,386,0.97040987,No_Entry
0473.png,243,349,281,383,0.9980951,No_Entry
0473.png,618,362,639,384,0.9879481,No_Entry
0475.png,240,346,279,381,0.99858534,No_Entry
0475.png,636,359,658,381,0.95752,No_Entry
0477.png,236,343,276,380,0.99868065,No_Entry
0477.png,654,357,679,380,0.9839129,No_Entry
0479.png,227,340,269,379,0.99812084,No_Entry
0479.png,677,351,703,378,0.99669075,No_Entry
0481.png,221,337,265,376,0.99890137,No_Entry
0481.png,702,346,730,376,0.9962424,No_Entry
0483.png,205,329,250,373,0.997561,No_Entry
0483.png,730,340,761,375,0.9949361,No_Entry
0485.png,759,331,794,368,0.99943525,No_Entry
0485.png,175,323,225,370,0.99777395,No_Entry
0487.png,131,310,185,365,0.9990055,No_Entry
0487.png,796,319,837,364,0.9969361,No_Entry
0489.png,66,297,129,358,0.9984577,No_Entry
0489.png,844,303,891,354,0.9964876,No_Entry
0491.png,908,275,970,343,0.99775887,No_Entry
0491.png,0,279,36,345,0.9934382,No_Entry
0493.png,1007,234,1093,323,0.9966826,No_Entry
0495.png,1202,137,1341,281,0.9890407,No_Entry
0495.png,1202,137,1341,281,0.9890407,No_Entry
